"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MGAM2",1.66549666666667,9.55695166666667,22.5050102133654,1.38398623630866e-10,1.83169239929919e-08,14.9369418862733
"PCDH20",2.62033666666667,7.56621833333333,22.4967756365479,1.3894860384053e-10,1.83169239929919e-08,14.9329092218296
"MVP",1.50318666666667,9.11949333333333,22.363257884199,1.48206331818181e-10,1.94016497298926e-08,14.8672978833488
"SATB1",1.75500666666667,9.09137333333334,22.3306958566186,1.50564560783423e-10,1.95744312781263e-08,14.8512322613874
"MCM7",-1.6275,10.9657833333333,-22.2869611091862,1.53796453717497e-10,1.98576503358119e-08,14.8296141843153
"EVI2B",-2.39297,6.973025,-22.2566399337492,1.56081414612874e-10,2.00155833120224e-08,14.8145994387286
"CLIP4",1.84191333333334,10.6633433333333,22.2006067236891,1.60401857687138e-10,2.04306447247314e-08,14.786793975748
"JHY",1.56958,8.42044666666667,22.165658625023,1.63162346995621e-10,2.06427745182178e-08,14.7694131337185
"TGM2",-1.6166,11.4481,-22.1325931545984,1.6582179822539e-10,2.08393781223122e-08,14.7529412759147
"FOSL2",1.63663,10.144785,22.1187628427679,1.66948132844721e-10,2.08419818030187e-08,14.7460436900172
"AKAP6",1.90857333333333,8.21684333333334,22.0502873444918,1.72648818013983e-10,2.14118609761946e-08,14.7118241301151
"MYLK",2.24832333333333,8.97565166666667,22.0019146991613,1.76803514644253e-10,2.178381081411e-08,14.6875814121687
"AJAP1",-1.7412,8.66046333333333,-21.9141982998416,1.84617768905961e-10,2.25988932574433e-08,14.6434738978607
"EDIL3",2.39659333333333,8.97170333333333,21.8652606173089,1.89140183448322e-10,2.30031070850601e-08,14.6187831671904
"DTNA",2.02186,7.41184,21.8199526988309,1.93434826596514e-10,2.33432136608358e-08,14.5958706493771
"ROS1",1.62655666666667,6.906805,21.8097833885386,1.94413269574623e-10,2.33432136608358e-08,14.5907209219391
"PLPP1",1.51032333333334,10.4871383333333,21.7813320982318,1.97179454235199e-10,2.35255056442262e-08,14.5762994789228
"HASPIN",-1.83361666666667,8.78355166666667,-21.7252629526673,2.02757039916369e-10,2.40388236444244e-08,14.547819629021
"TRIB2",-1.73184,9.10967666666667,-21.5675382045825,2.19389163262721e-10,2.56232327785883e-08,14.4672790768392
"CUBN",1.5338,7.49555666666667,21.5673938136985,2.19405053400437e-10,2.56232327785883e-08,14.4672050557004
"ANGPTL7",3.14967666666667,7.88651166666667,21.5557795480809,2.20687309259722e-10,2.56232327785883e-08,14.4612493287607
"RFTN2",2.40255333333333,8.11996666666667,21.5479362931208,2.21557845361514e-10,2.56232327785883e-08,14.4572254063287
"NUDT17",1.51164666666667,9.46187666666667,21.5109888855091,2.25709284260869e-10,2.59441812048881e-08,14.4382486675584
"XRCC2",-2.50847333333334,9.69993,-21.4636169544842,2.31156365886325e-10,2.64092645655947e-08,14.4138665553763
"LGR5",2.33518666666667,7.59049666666667,21.4305077646902,2.3504832986821e-10,2.66921449779857e-08,14.3967911544533
"ROBO2",1.70464,7.95442,21.4080474487607,2.37729103865242e-10,2.67613915681116e-08,14.3851916061914
"H3C1",-1.63351,9.464145,-21.401661545617,2.38497362656769e-10,2.67613915681116e-08,14.3818912509093
"TP53INP1",2.29129666666667,8.822455,21.3710747904326,2.42214776262385e-10,2.70176967297173e-08,14.366068810259
"TENM3-AS1",1.51794333333333,9.65386166666667,21.3370315709325,2.46426590935359e-10,2.73258097983673e-08,14.3484298339782
"P2RX7",2.62735333333333,7.68025333333333,21.3111326946617,2.49684175951086e-10,2.75056811581916e-08,14.3349905538404
"ORAI3",1.80637666666667,10.057745,21.3010353243923,2.50966906753432e-10,2.75056811581916e-08,14.329746158812
"PGM2L1",1.86828666666667,8.00870333333333,21.2882631925841,2.52599713388225e-10,2.75246080756152e-08,14.3231087322599
"GINS2",-1.96647333333333,11.0772966666667,-21.2500579131683,2.57553343250357e-10,2.79030923770832e-08,14.3032287645322
"PMAIP1",-2.201,8.40339,-21.1673252360875,2.6864660250056e-10,2.87969832060719e-08,14.2600479942451
"ACSF2",1.51719,8.709525,21.1657745777572,2.68859426251586e-10,2.87969832060719e-08,14.2592369382744
